"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 26 18:21:21 CST 2020","Thu Nov 26 18:21:21 CST 2020","170","","test_userinfo","TestUser","","","搜索成功"," 搜索成功用例 "
"passed","Thu Nov 26 18:21:21 CST 2020","Thu Nov 26 18:21:22 CST 2020","152","","test_userinfo","TestUser","","","搜索失败"," 搜索失败用例 "
